"year","month","title_ja","title_en","association_ja","association_en","url"
"2026","05","Best Paper Award","Best Paper Award","IEEE Robotics and Automation Letters (RA-L) 2025","IEEE Robotics and Automation Letters (RA-L) 2025","https://api.researchmap.jp/takahashi_ryo/research_projects/51709078"
"2026","02","船井研究奨励賞","船井研究奨励賞","船井情報科学振興財団","船井情報科学振興財団","https://api.researchmap.jp/takahashi_ryo/research_projects/51709078"
"2026","02","優秀論文発表賞A","優秀論文発表賞A","電気学会センサ・マイクロシステム部門","電気学会センサ・マイクロシステム部門","https://api.researchmap.jp/takahashi_ryo/research_projects/51709078"
"2025","12","優秀講演論文","優秀講演論文","第16回マイクロ・ナノ工学シンポジウム","第16回マイクロ・ナノ工学シンポジウム","https://api.researchmap.jp/takahashi_ryo/research_projects/51709078"
"2025","11","奨励賞","奨励賞","第42回「センサ・マイクロマシンと応用システム」シンポジウム","第42回「センサ・マイクロマシンと応用システム」シンポジウム","https://api.researchmap.jp/takahashi_ryo/research_projects/51709078"
"2025","10","優秀論文賞","優秀論文賞","情報処理学会 第87回ユビキタスコンピューティングシステム研究会","情報処理学会 第87回ユビキタスコンピューティングシステム研究会","https://api.researchmap.jp/takahashi_ryo/research_projects/50321092"
"2025","05","優秀論文賞","優秀論文賞","第86回ユビキタスコンピューティングシステム研究会","第86回ユビキタスコンピューティングシステム研究会","https://api.researchmap.jp/takahashi_ryo/research_projects/50321092"
"2024","11","優秀講演論文","優秀講演論文","第15 回マイクロ・ナノ工学シンポジウム マイクロ・ナノ部門","第15 回マイクロ・ナノ工学シンポジウム マイクロ・ナノ部門","https://api.researchmap.jp/takahashi_ryo/research_projects/41924013"
"2024","05","FSE Best Poster Presentation Award","FSE Best Poster Presentation Award","7th Event of Young Researchers Society for Flexible and Stretchable Electronics","7th Event of Young Researchers Society for Flexible and Stretchable Electronics",""
"2023","03","学生奨励賞","学生奨励賞","情報処理学会 第85回全国大会","情報処理学会 第85回全国大会","https://api.researchmap.jp/takahashi_ryo/research_projects/41924013"
"2023","03","テレコムシステム技術学生賞 最優秀賞","テレコムシステム技術学生賞 最優秀賞","電気通信普及財団賞","電気通信普及財団賞","https://api.researchmap.jp/takahashi_ryo/research_projects/39549102"
"2023","03","山下記念研究賞","山下記念研究賞","情報処理学会","情報処理学会","https://api.researchmap.jp/takahashi_ryo/research_projects/39549102"
"2022","12","最優秀論文賞","最優秀論文賞","第30回インタラクティブシステムとソフトウェアに関するワークショップ(WISS 2022)","第30回インタラクティブシステムとソフトウェアに関するワークショップ(WISS 2022)","https://api.researchmap.jp/takahashi_ryo/research_projects/39549102"
"2022","09","Gaetano Borriello Outstanding Student Award Runner up","Gaetano Borriello Outstanding Student Award Runner up","ACM Ubicomp 2022","ACM Ubicomp 2022","https://api.researchmap.jp/takahashi_ryo/research_projects/39549102"
"2022","04","Best Paper Award","Best Paper Award","ACM CHI Conference on Human Factors in Computing Systems","ACM CHI Conference on Human Factors in Computing Systems","https://api.researchmap.jp/takahashi_ryo/research_projects/39549102"
"2021","09","優秀論文賞","優秀論文賞","情報処理学会UBI研究会","情報処理学会UBI研究会","https://api.researchmap.jp/takahashi_ryo/research_projects/39549102"
"2021","04","CHI'20 @ CHI'21 People’s Choice Best Demo Honorable Mention Award","CHI'20 @ CHI'21 People’s Choice Best Demo Honorable Mention Award","Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems (CHI EA ’20)","Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems (CHI EA ’20)",""
"2020","04","Honorable Mention Award","Honorable Mention Award","Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems Proceedings (ACM CHI)","Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems Proceedings (ACM CHI)",""
"2020","03","インタラクティブ発表賞(PC推薦・一般投票)","インタラクティブ発表賞(PC推薦・一般投票)","情報処理学会インタラクション","情報処理学会インタラクション",""
