"year","month","type","authors","title","venue","detail","place","award","url","doi","note","reviewed","sortkey"
"2026","08","media","","無線で給電・通信ができる衣服を実現 多彩なウエアラブルデバイス活用に道","JST News","","","","","","","no","202608"
"2026","08","media","","服にコイルを編み込んで全身無線通信・給電ネットワーク、AR 操作を見据えた指輪型マウスも開発","ASCII.jp","","","","","","","no","202608"
"2026","08","media","","【创新日本走访】第32回：实现可无线供电与通信的服装，为多样化可穿戴器件的应用开辟道路","客観日本","","","","","","","no","202608"
"2025","10","media","","東京大学、指輪型マウス「picoRing」を発表 超低消費電力でAR操作も可能","Mogura VR","","","","","","","no","202510"
"2025","10","media","","東京大学、1回の充電で1カ月動作する指輪型無線マウスを開発","FabScene","","","","","","","no","202510"
"2025","10","media","","マウスを指輪に！ 東大が開発した超低消費電力ウェアラブル「picoRing」","Nazology","","","","","","","no","202510"
"2025","10","media","","フル充電で1,000時間稼働！ 東大発・超低電力のウェアラブルマウス「picoRing mouse」","bouncy","","","","","","","no","202510"
"2025","10","media","","ごくわずかな電力で動く指輪型無線マウスの開発に成功 ―日常空間でARグラスを目立たず半永久的に扱うコントローラに向けて―","東京大学","","","","","","","no","202510"
"2025","10","media","","The lord of the ring mouse — a lightweight, ring-based computer mouse lasts over a month on a single charge","TechXplore","","","","","","","no","202510"
"2025","10","media","","The lord of the ring mouse A lightweight ring-based computer mouse lasts over a month on a single charge","The University of Tokyo","","","","","","","no","202510"
"2025","10","media","","Smart glasses are forcing wearables to get very weird","Gizmodo","","","","","","","no","202510"
"2025","10","media","","One Ring to Rule VR","Hackster.io","","","","","","","no","202510"
"2025","10","media","","New smart ring is a novel way to control your computer — it has the humble mouse firmly in its sights","Live Science","","","","","","","no","202510"
"2025","07","media","","日本発の指輪型コントローラー「ピコリング」は、“マウスの次”を目指して進化する","Wired","","","","","","","no","202507"
"2022","05","media","","充電できる“服”、東大が開発 身体周りのスマホを自動で無線給電","ITmedia NEWS","","","","","","","no","202205"
"2021","04","media","","机や太ももの上でキーボードなしタイピング 指輪型「TelemetRing」、東大とMicrosoftが開発","ITmedia NEWS","","","","","","","no","202104"
"2020","07","media","","トラックパッドに載せて操作する空気圧式コントローラー「PneuModule」 東大が開発","ITmedia NEWS","","","","","","","no","202007"
"2019","06","media","","世の中の課題を解決する電気のチカラ！","子供の科学2020年6月号","","","","","","","no","201906"
"2019","01","media","","東大、切断できるワイヤレス充電用シートを開発 衣服のポケットでスマホ充電など応用に期待","ITmedia NEWS","","","","","","","no","201901"
"2019","01","media","","東大、いろいろな形に切り抜いて使えるワイヤレス充電シートを開発","財経新聞","","","","https://www.zaikei.co.jp/article/20190108/487777.html?utm_source=news_pics&utm_medium=app","","","no","201901"
"2019","01","media","","切り取り自在、ワイヤレス充電シート 東大研究チーム開発","朝日新聞","","","","","","","no","201901"
"2019","01","media","","切り取り可能なワイヤレス充電シートを実現 ～ 誰もが簡単にワイヤレス充電可能な製品の制作を可能にする手法の開発","国立大学法人東京大学プレスリリース","","","","https://www.t.u-tokyo.ac.jp/press/foe/press/setnws_201901081442341787281798.html","","","no","201901"
"2019","01","media","","ポケットでスマホ充電 切り貼りできるシート状、東大が開発","産経新聞","","","","","","","no","201901"
"2019","01","media","","スマホを置くだけ！切って使えるワイヤレス充電シート","テレビ東京","","","","","","","no","201901"
