"year","month","day","type","authors","title","venue","detail","place","award","url","doi","note","reviewed","sortkey"
"2026","10","","conference","K. Minomo*, R. Takahashi, K. Yasui, Y. Nakashima, M. Yamamoto, and A. Kanada","Dense-Joint-Based Obstacle-Aided Locomotion with a Joint-Repositionable Snake Robot","2026 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","To appear","Pittsburgh, USA","","","","","yes","20261000"
"2026","10","","conference","Y. Li*, R. Takahashi*†, W. Yukita, I. Wicaksono, K. Matsutani, Y. Iwamoto, S. Lee, T. Yokota, T. Someya, and Y. Kawahara","Machine-knittable, Magnetically-Plug-n-Play E-Textile Prototyping","2026 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","To appear","Pittsburgh, USA","","","","","yes","20261000"
"2026","10","","conference","H. Yamamoto*, Y. Li, Y. Kawahara, and R. Takahashi†","picoRing dual: ultralow-power bimanual ring controllers for everyday AR","Proceedings of the 2026 ACM International Symposium on Wearable Computers (ISWC '26)","To appear","","","https://doi.org/10.1145/3830727.3834815","","","yes","20261000"
"2026","10","","workshop","S. Ido*, K. Tanaka*, R. Maeda*, R. Takahashi, A. Noda, and S. Ishida","Collisionless Multi-Tag NFC Sensing for Indoor Activity Recognition Using Meander E-Textiles","Proc. of ACM UbiComp 2026","Intelligent Soft Wearables Workshop","Shanghai, China","","https://doi.org/10.1145/3798063.3839219","","","yes","20261000"
"2026","10","","workshop","H. Yamamoto*, Y. Li, Y. Kawahara, and R. Takahashi†","Flexible NFC wristband for ultralow-power ring-to-wristband interaction","Proc. of ACM UbiComp 2026","Intelligent Soft Wearables Workshop","Shanghai, China","","https://doi.org/10.1145/3798063.3839217","","","yes","20261000"
"2026","10","","workshop","C. Honnet, T. C. Yu, R. Takahashi, T. Cheng, C. Zhang, Y. Kawahara, Y. Luo, I. Wicaksono, and J. Paradiso","Intelligent Soft Wearables: Bridging Disciplines Towards Soft Wearables for Everyone, Everywhere","Proc. of ACM UbiComp 2026","To appear","Shanghai, China","","https://doi.org/10.1145/3798063.3839755","","","yes","20261000"
"2026","09","","journal","T. Sato*†, R. Takahashi*†, S. Watanabe, W. Yukita, T. Yokota, T. Someya, Y. Kawahara, E. Iwase, and W. Iwasaki","Friction-Based Interconnection of Stretchable Liquid Metal-Based Coil with Rigid Capacitors for Mechanically Durable Wireless Powering Textile","ACS Applied Materials & Interfaces","To appear","","","https://doi.org/10.1021/acsami.6c06181","","","yes","20260900"
"2026","08","13","journal","R. Takahashi*†, Y. Li, M. Fukumoto, A. Noda, S. Ishida, T. Yokota, T. Someya, and Y. Kawahara","Ultra-Low-Power Wireless Ring Mouse","Electronics and Communications in Japan","146(7), pp.186-192","","","https://doi.org/10.1002/ecj.70049","10.1002/ecj.70049","","yes","20260813"
"2026","08","","article","高橋亮*†","無線で給電・通信ができる衣服を実現 多彩なウエアラブルデバイス活用に道","JSTnews","8月号","","","https://www.jst.go.jp/pr/jst-news/backnumber/2026/202608/pdf/2026_08.pdf","","","no","20260800"
"2026","07","09","journal","R. Takahashi*†, H. H. Chen, H. Mao, W. Yukita, T. Yokota, T. Someya, Y. Kawahara, Y. Luo†, and I. Wicaksono†","Knittable electronic textiles for intelligent soft wearables","npj Flex Electron","To appear","","","https://www.nature.com/articles/s41528-026-00611-y","10.1038/s41528-026-00611-y","","yes","20260709"
"2026","07","01","journal","高橋亮*†,Y. Li,福本雅朗,野田聡人,石田繁巳,横田知之,染谷隆夫,川原圭博","picoRing mouse:極低電力な指輪型無線マウス","電気論文誌E","146巻,7号","","","https://www.jstage.jst.go.jp/article/ieejsmas/146/7/146_186/_article/-char/ja","10.1541/ieejsmas.146.186","","yes","20260701"
"2026","07","","journal","R. Takahashi*† and Y. Kawahara","Near-field power and data networking via meandered e-textiles for continuous, large-scale BodyNet","IEEE Pervasive Computing","in press","","","https://doi.org/10.1109/MPRV.2026.3712563","10.1109/MPRV.2026.3712563","","yes","20260700"
"2026","07","","article","高橋亮*†","ヒトの周りでの安全・大面積・W級の服型無線給電ネットワーク","月刊EMC","8月号","","","","","","no","20260700"
"2026","06","","domestic","韓燦教,高橋亮,横田知之,川原圭博","メアンダコイル上の小型移動ロボットの走行中無線給電における給電効率を考慮した探索的経路生成手法","ROBOMECH","1P1-H09","福岡","","","","","no","20260600"
"2026","06","","domestic","山本英昂,高橋亮,川原圭博","picoRing NFC: 中距離NFCを用いた極低電力なワイヤレススマートリング","ROBOMECH 2026","2A1-R04","福岡","","","","","no","20260600"
"2026","06","","domestic","高橋亮*†,川原圭博","機械編みによる人体スケールの NFC リーダ服","ROBOMECH 2026","2P1-O10","福岡","","","","","no","20260600"
"2026","06","","domestic","蓑毛響介,高橋亮,安井浩太郎,山本元司,中島康貴,金田礼人","関節の高密度化がヘビ型ロボットの障害物利用推進に与える影響の調査","ROBOMECH 2026","2A1-I09","福岡","","","","","no","20260600"
"2026","04","13","demo","H. Yamamoto*, Y. Li*, W. Yukita, T. Yokota, T. Someya, R. Takahashi, and Y. Kawahara","Body-scale NFC for wearables: human-centric body-scale NFC networking for ultra-low-power wearable devices (Demo of UTokyo Kawahara Lab 2025)","Extended Abstracts of the 2026 CHI Conference on Human Factors in Computing Systems","Article No. 825, pp. 1-6","Barcelona, Spain","","https://dl.acm.org/doi/10.1145/3772363.3799126","10.1145/3772363.3799126","","yes","20260413"
"2026","01","25","conference","T. Sato, R. Takahashi, K. Yamagishi, T. Someya, M. Hashimoto, E. Iwase, Y. Kawahara, J. Kurumida, and W. Iwasaki","3D-printing water-soluble channels filled with liquid metal for recyclable and cuttable wireless power sheet","2026 IEEE 39th International Conference on Micro Electro Mechanical Systems (MEMS)","VII-b-2","Salzburg, Austria","","https://doi.org/10.1109/mems64181.2026.11419301","10.1109/mems64181.2026.11419301","","yes","20260125"
"2025","11","","domestic","高橋亮*†,Y. Li,福本雅朗,M. Kari,野田聡人,石田繁巳,横田知之,染谷隆夫,川原圭博","極低電力な指輪型無線マウス","「センサ・マイクロマシンと応用システム」シンポジウム","第42回","宇都宮","奨励賞","https://sensorsymposium.org/2025/","","","yes","20251100"
"2025","11","","domestic","佐藤峻,高橋亮,山岸健人,染谷隆夫,橋本道尚,岩瀬英治,川原圭博,来見田淳也,岩﨑渉","液体金属を充填した3D印刷水溶性流路によるリサイクル可能なフレキシブル電子デバイス","第16回マイクロ・ナノ工学シンポジウム","12P2-PN-92","宇都宮","ファイナリスト","https://www.jsme.or.jp/conference/mnm2025/outline.html","","","yes","20251100"
"2025","10","12","conference","R. Takahashi*†, T. Sato, W. Yukita, T. Yokota, T. Someya, and Y. Kawahara","Full-body WPT: wireless powering with meandered e-textiles","Companion of the 2025 ACM International Joint Conference on Pervasive and Ubiquitous Computing (UbiComp Companion'25)","pp. 529-533","","","https://doi.org/10.1145/3714394.3750714","10.1145/3714394.3750714","","yes","20251012"
"2025","10","12","workshop","Y. Li, R. Takahashi, I. Wicaksono, W. Yukita, Y. Iwamoto, S. Lee, T. Yokota, T. Someya, and Y. Kawahara","Plug-n-play e-knit with LED-based sensor positioning","Proc. of ACM UbiComp 2025","Intelligent Soft Wearables Workshop","Espoo, Finland","","","","","yes","20251012"
"2025","10","","conference","Y. Li, M. Fukumoto, M. Kari, S. Ishida, A. Noda, T. Yokota, T. Someya, Y. Kawahara, and R. Takahashi†","Ultra-low-power ring-based wireless tinymouse","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology (ACM UIST)","Article 22, 1-12","Busan, Korea","","https://dl.acm.org/doi/10.1145/3746059.3747615","10.1145/3746059.3747615","","yes","20251000"
