"year","month","type","authors","title","venue","detail","place","award","url","doi","note","reviewed","sortkey"
"2026","08","talk","高橋亮","生体データ通信インフラの無線フルボディ化に向けて","JST 大学見本市~イノベーション・ジャパン","JST ACT-X","東京","","https://innovationjapan.jst.go.jp/seminar/#seminar05","","","no","202608"
"2026","03","talk","横田知之,高橋亮","生体データ通信インフラの無線フルボディ化","総合大会","次世代サイバーインフラの実現に向けたチャレンジ(スポンサードセッション)","","","","","","no","202603"
"2025","12","talk","高橋亮","生体データ通信インフラの無線フルボディ化","公立はこだて未来大学","石田研究室主催","北海道","","","","招待講演","no","202512"
"2025","12","talk","高橋亮,Y. Li,福本雅朗,横田知之,染谷隆夫,川原圭博","picoRing mouse: 極低電力な指輪型無線マウス","WISS 2025","","北海道","","https://www.wiss.org/WISS2025/","","招待論文","yes","202512"
"2025","10","talk","R. Takahashi","Meandered wireless e-textiles toward full-body internet of textiles","Tsinghua Shenzhen International Graduate School","Hosted by Prof. Xi Tian","Shenzhen, China","","","","Invited talk","no","202510"
"2025","06","talk","高橋亮","生体データ通信インフラの無線フルボディ化","センサネットワークとモバイルインテリジェンスフォーラム2025","インタラクティブセッション2","","","https://sites.google.com/view/semi-forum-2025/","","","no","202506"
"2025","04","talk","R. Takahashi","Long-term full-body wearables powered by wireless electronic textiles","ADE@MIT","Hosted by Kexin Wang","Online","","","","Invited talk","no","202504"
"2024","09","talk","高橋亮","ウェアラブルデバイスとロボットのための大面積・高効率なワイヤレス給電服","第42回日本ロボット学会学術講演会","1C2-01","大阪","","https://ac.rsj-web.org/2024/program.html","","招待講演","no","202409"
"2022","12","talk","Y. Kawahara and R. Takahashi","Meander Coil++: A Body-scale Wireless Power Transmission Using Safe-to-body and Energy-efficient Transmitter Coil","SIGGRAPH Asia 2022","ACM Best of CHI Session","Daegu, South Korea","","https://sa2022.siggraph.org/en/full-program/","","Invited Talk","no","202212"
"2022","09","talk","高橋亮","衣服スケールのメアンダコイルによるバッテリレスセンサの高感度な無線読み取り手法","IPSJ FIT 2022","トップコンファレンスセッション","","","https://onsite.gakkai-web.net/fit2022/abstract/data/html/event/event_TCS2-2.html","","","no","202209"
